"start.nei.name","2020","2019","2018","2017","2016"
"Astoria",75,15,15,10,29
"Battery Park",8688,13660,11498,11852,8181
"Bedford Stuyvesant",280,232,276,246,155
"Boerum Hill",307,276,293,318,171
"Brooklyn Heights",600,495,558,742,643
"Bushwick",147,29,NA,NA,NA
"Carnegie Hill",53,43,35,33,47
"Carroll Gardens",174,158,144,263,161
"Central Park",446,229,233,207,163
"Chelsea",8302,9440,7440,7773,6055
"Chinatown",1345,2820,2558,2520,2657
"Clinton",4231,5231,3241,3925,2783
"Clinton Hill",259,152,226,352,249
"Cobble Hill",73,111,94,91,123
"Columbia Street Waterfront District",69,107,103,70,101
"Columbus Circle",1185,1443,1136,1532,948
"Concourse",4,NA,NA,NA,NA
"Crown Heights",156,172,126,6,NA
"Downtown",666,1039,964,1269,1155
"DUMBO",411,481,462,579,554
"East Harlem",116,56,31,50,7
"East New York",1,NA,NA,NA,NA
"East Village",4451,6151,4515,3951,3424
"Financial District",10937,15125,11100,11184,8599
"Flatiron District",3592,4874,3664,4205,2792
"Fort Greene",545,503,340,537,533
"Garment District",1928,2793,2003,2340,1542
"Governors Island",8,2,3,1,NA
"Gowanus",188,174,128,145,68
"Gramercy",1956,1848,1284,1437,1247
"Greenpoint",223,268,232,244,140
"Greenwich Village",7191,8329,7163,7945,5760
"Greenwood",9,4,6,2,NA
"Hamilton Heights",23,NA,NA,NA,NA
"Harlem",114,47,56,21,NA
"High Bridge",1,NA,NA,NA,NA
"Hunters Point",14,14,9,7,6
"Little Italy",3699,5739,4874,5127,3886
"Lower East Side",8318,14312,12389,11985,10216
"Manhattanville",110,2,4,NA,NA
"Melrose",5,NA,NA,NA,NA
"Midtown",1966,2064,1730,1727,1326
"Morningside Heights",106,140,137,54,NA
"Mott Haven",5,NA,NA,NA,NA
"Murray Hill",842,1327,1093,1319,1203
"Navy Yard",55,40,41,76,41
"NoHo",1071,1753,1626,1871,1865
"Ocean Hill",6,NA,NA,NA,NA
"Park Slope",416,439,514,530,364
"Port Morris",1,NA,NA,NA,NA
"Prospect Heights",105,178,124,18,NA
"Prospect Lefferts Gardens",77,10,9,1,NA
"Randals-Wards Island",1,NA,NA,NA,NA
"Red Hook",63,84,18,35,21
"Ridgewood",16,NA,NA,NA,NA
"Roosevelt Island",4,NA,NA,NA,NA
"SoHo",8170,10647,9398,9324,7303
"Stuyvesant Town",498,652,361,446,201
"Sunnyside",7,1,1,1,1
"Sunset Park",3,1,2,1,1
"Sutton Place",388,174,122,183,164
"Tribeca",15557,29762,21229,20452,16018
"Tudor City",250,216,108,155,152
"Turtle Bay",343,315,287,312,207
"Upper East Side",1080,521,404,365,332
"Upper West Side",3061,2503,1827,2292,1798
"Washington Heights",68,NA,NA,NA,NA
"West Village",7459,10667,7584,8095,6356
"Williamsburg",1527,1407,912,910,801
